# Distance (Angstrom)    Energy (eV)
1.000000000000000000e+00 -5.847563033248522970e+02
1.030000000000000027e+00 -5.854353153811249513e+02
1.060000000000000053e+00 -5.858876274936167192e+02
1.090000000000000080e+00 -5.861569384236772748e+02
1.120000000000000107e+00 -5.862776938376298403e+02
1.149999999999999911e+00 -5.862799304773266158e+02
1.179999999999999938e+00 -5.861931759596279790e+02
1.209999999999999964e+00 -5.860373458882141904e+02
1.239999999999999991e+00 -5.858279257174156101e+02
1.270000000000000018e+00 -5.855748846098252898e+02
1.300000000000000044e+00 -5.852900185642916995e+02
