# Distance (Angstrom)    Energy (Ry)
3.799999999999999822e+00 -9.634971325400906039e+01
3.859999999999999876e+00 -9.635888250117960752e+01
3.919999999999999929e+00 -9.636559146789166164e+01
3.979999999999999982e+00 -9.637015449164849201e+01
4.040000000000000036e+00 -9.637298636915548400e+01
4.099999999999999645e+00 -9.637441530780573373e+01
4.160000000000000142e+00 -9.637457203656086335e+01
4.219999999999999751e+00 -9.637365702382861343e+01
4.280000000000000249e+00 -9.637207054642968274e+01
4.339999999999999858e+00 -9.636972306507524877e+01
4.400000000000000355e+00 -9.636694013717946916e+01
4.459999999999999964e+00 -9.636355986402828933e+01
